ID Topik,Nama Topik,Jumlah Dokumen,Kata Kunci Utama,Skor c-TF-IDF,Contoh Advisory
0,0_rockwell_automation_cisa_rockwell automation,249,"rockwell, automation, cisa, rockwell automation, ics, vulnerability, control, practices","0.017, 0.015, 0.015, 0.015, 0.013, 0.011, 0.011, 0.010",ICSA-12-150-01; ICSA-13-011-03; ICSA-13-053-02A
1,1_files_later version_parsing_open untrusted,124,"files, later version, parsing, open untrusted, context current, later, current process, open","0.030, 0.024, 0.021, 0.021, 0.021, 0.021, 0.021, 0.020",ICSA-12-145-02; ICSA-15-111-02; ICSA-15-120-01
2,2_hitachi_hitachi energy_energy_process control,106,"hitachi, hitachi energy, energy, process control, process, control, direct, cmu","0.034, 0.032, 0.030, 0.026, 0.019, 0.016, 0.015, 0.014",ICSA-16-152-02; ICSA-19-178-01; ICSA-19-330-02
3,3_affected_siemens_access_attacker,88,"affected, siemens, access, attacker, later version, devices, web, update","0.016, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012",ICSA-10-147-01; ICSA-16-308-02B; ICSA-17-243-02
4,4_siemens_devices_cisa_security,82,"siemens, devices, cisa, security, defense, control, ics, organizations","0.017, 0.016, 0.015, 0.013, 0.012, 0.011, 0.011, 0.011",ICSA-12-305-01; ICSA-16-334-02; ICSA-18-025-02B
5,5_cisa_avoiding_email_social,75,"cisa, avoiding, email, social, social engineering, attacks, ics, engineering","0.018, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014",ICSA-16-320-01; ICSA-19-029-02; ICSA-23-213-01
6,6_android_siemens_security_industrial security,69,"android, siemens, security, industrial security, environment, industrial, recommends, needed","0.035, 0.035, 0.022, 0.017, 0.016, 0.013, 0.013, 0.013",ICSA-16-140-02; ICSA-17-187-03F; ICSA-18-067-01
7,7_ics cert_cert_nccic_cvss,63,"ics cert, cert, nccic, cvss, 2017, assigned, ics, cert web","0.027, 0.023, 0.019, 0.016, 0.015, 0.014, 0.014, 0.012",ICSA-17-026-02A; ICSA-17-045-02; ICSA-17-047-02
8,8_ics cert_cert_nccic_ics,59,"ics cert, cert, nccic, ics, recommended practices, csaf, cert web, available","0.026, 0.025, 0.019, 0.015, 0.013, 0.012, 0.012, 0.012",ICSA-17-010-01A; ICSA-17-019-01A; ICSA-17-024-01
9,9_wincc_siemens_tia portal_tia,59,"wincc, siemens, tia portal, tia, cisa, portal, wincc flexible, flexible","0.028, 0.021, 0.019, 0.019, 0.015, 0.015, 0.013, 0.013",ICSA-11-244-01; ICSA-11-279-03A; ICSA-11-356-01
10,10_cisa_avoiding_email_social,58,"cisa, avoiding, email, social, social engineering, engineering, attacks, scams","0.021, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.013",ICSA-12-025-02A; ICSA-12-102-01; ICSA-12-102-02
11,11_siemens_devices_cisa_security,57,"siemens, devices, cisa, security, control, ics, remote, defense","0.017, 0.015, 0.014, 0.011, 0.010, 0.010, 0.010, 0.010",ICSA-13-169-01; ICSA-15-349-01; ICSA-16-252-01
