ID Topik,Nama Topik,Jumlah Dokumen,Kata Kunci Utama,Skor c-TF-IDF,Contoh Advisory
0,0_cvss_cve_assigned_users,980,"cvss, cve, assigned, users, vulnerability, base, score, ui","0.016, 0.013, 0.012, 0.011, 0.011, 0.011, 0.010, 0.010",ICSA-12-213-01A; ICSA-13-095-02A; ICSA-15-169-01B
1,1_cert_ics_cisa_recommended practices,322,"cert, ics, cisa, recommended practices, ics cert, csaf, vulnerability, practices","0.021, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.015",ICSA-17-012-02; ICSA-17-031-02; ICSA-17-038-01
2,2_cisa_ics_gov ics_exploitation,198,"cisa, ics, gov ics, exploitation, vulnerability, defense, control, organizations","0.022, 0.020, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013",ICSA-13-018-01; ICSA-17-220-02; ICSMA-18-137-02
3,3_affected_application_siemens_attacker,103,"affected, application, siemens, attacker, access, devices, update, affected application","0.017, 0.016, 0.015, 0.015, 0.014, 0.013, 0.013, 0.012",ICSA-12-158-01; ICSA-15-020-02; ICSA-16-322-02
4,4_update_later version_later_version update,91,"update, later version, later, version update, version, siemens, image, hmi","0.045, 0.037, 0.033, 0.032, 0.028, 0.020, 0.013, 0.013",ICSA-14-329-02D; ICSA-15-099-01E; ICSA-15-335-03
5,5_update_later version_version update_siemens,86,"update, later version, version update, siemens, later, version, devices, security","0.021, 0.021, 0.019, 0.019, 0.018, 0.017, 0.013, 0.013",ICSA-17-045-03; ICSA-17-187-03F; ICSA-17-318-02A
6,6_cisa_avoiding_social_social engineering,84,"cisa, avoiding, social, social engineering, email, engineering, attacks, scams","0.024, 0.018, 0.018, 0.018, 0.018, 0.017, 0.017, 0.014",ICSA-11-017-01; ICSA-11-018-02; ICSA-11-074-01
7,7_siemens_cisa_devices_security,72,"siemens, cisa, devices, security, recommends, products, ics, control","0.023, 0.017, 0.016, 0.014, 0.012, 0.012, 0.012, 0.012",ICSA-13-042-01; ICSA-15-265-02; ICSA-19-344-04
8,8_cisa_ics_avoiding_email,70,"cisa, ics, avoiding, email, social, social engineering, attacks, engineering","0.020, 0.017, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015",ICSA-19-029-02; ICSMA-22-244-01; ICSA-23-243-01
9,9_siemens_devices_cisa_security,55,"siemens, devices, cisa, security, industrial, recommends, products, industrial security","0.026, 0.019, 0.017, 0.016, 0.014, 0.013, 0.013, 0.013",ICSA-17-243-01; ICSA-19-085-01; ICSA-19-344-01
11,11_schneider_schneider electric_electric_ecostruxure,54,"schneider, schneider electric, electric, ecostruxure, network, expert, cybersecurity, networks","0.026, 0.023, 0.021, 0.019, 0.017, 0.017, 0.016, 0.014",ICSA-18-107-02; ICSA-21-257-03; ICSA-24-289-02
10,10_cisa_avoiding_email_social,54,"cisa, avoiding, email, social, social engineering, engineering, attacks, email scams","0.025, 0.019, 0.018, 0.018, 0.018, 0.018, 0.018, 0.014",ICSA-11-017-02; ICSA-11-273-02; ICSA-11-279-01
12,12_later version_v3 later_later_update v3,53,"later version, v3 later, later, update v3, trusted sources, applications, run, sources","0.030, 0.027, 0.027, 0.026, 0.026, 0.026, 0.024, 0.024",ICSA-10-147-01; ICSA-11-280-01; ICSA-12-341-01
13,13_siemens_products_devices_cisa,46,"siemens, products, devices, cisa, later version, update, security, recommends","0.027, 0.016, 0.016, 0.016, 0.015, 0.015, 0.014, 0.014",ICSA-13-169-01; ICSA-17-271-01B; ICSA-17-285-05
